Fluor,Target,Sample,Rep,Cq
FAM,,10010305,2,#NUM!
FAM,,1003010,1,#NUM!
FAM,,1003010,2,#NUM!
FAM,,05020302,1,#NUM!
FAM,,05020302,2,#NUM!
FAM,,05020308,1,#NUM!
FAM,,05020308,2,#NUM!
FAM,,05020301,1,#NUM!
FAM,,05020301,2,#NUM!
FAM,,08020310,1,#NUM!
FAM,,08020310,2,#NUM!
FAM,,10020304,1,#NUM!
FAM,,10020304,2,#NUM!
FAM,,09030307,1,#NUM!
FAM,,09030307,2,#NUM!
FAM,,07010111,1,#NUM!
FAM,,07010111,2,#NUM!
FAM,,07010101,1,#NUM!
FAM,,07010101,2,#NUM!
FAM,,07010105,1,#NUM!
FAM,,07010105,2,#NUM!
FAM,,07010102,1,#NUM!
FAM,,07010102,2,#NUM!
FAM,,10010304,1,#NUM!
FAM,,10010304,2,#NUM!
FAM,,09010308,1,#NUM!
FAM,,09010308,2,#NUM!
FAM,,07010107,1,#NUM!
FAM,,07010107,2,#NUM!
FAM,,07010106,1,#NUM!
FAM,,07010106,2,#NUM!
FAM,,07020110,1,#NUM!
FAM,,07020110,2,#NUM!
FAM,,07020108,1,#NUM!
FAM,,07020108,2,#NUM!
FAM,,10020303,1,#NUM!
FAM,,10020303,2,#NUM!
FAM,,09020304,1,#NUM!
FAM,,09020304,2,#NUM!
FAM,,07020105,1,#NUM!
FAM,,07020105,2,#NUM!
FAM,,07020101,1,#NUM!
FAM,,07020101,2,#NUM!
FAM,,120203C,1,#NUM!
FAM,,120203C,2,#NUM!
FAM,,10020311,1,#NUM!
FAM,,10020311,2,#NUM!
FAM,,10010312,1,#NUM!
FAM,,10010312,2,#NUM!
FAM,,11010305,1,#NUM!
FAM,,11010305,2,#NUM!
FAM,,10020308,1,#NUM!
FAM,,10020308,2,#NUM!
FAM,,10020301,1,#NUM!
FAM,,10020301,2,#NUM!
FAM,,10020312,1,#NUM!
FAM,,10020312,2,#NUM!
FAM,,10020307,1,#NUM!
FAM,,10020307,2,#NUM!
FAM,,"Bd+FV3 10_5,5",1,26.32674554
