Well,Fluor,Target,Sample,Rep,Cq
C11,HEX,,'02-13,1,45
C12,HEX,,'02-13,2,45
D01,HEX,,'01-53,1,45
D02,HEX,,'01-53,2,45
D03,HEX,,'01-61,1,45
D04,HEX,,'01-61,2,45
D05,HEX,,'01-69,1,45
D06,HEX,,'01-69,2,45
D07,HEX,,'01-77,1,45
D08,HEX,,'01-77,2,45
D09,HEX,,'02-04,1,45
D10,HEX,,'02-04,2,45
D11,HEX,,'02-12,1,31.95459716
D12,HEX,,'02-12,2,32.04513037
E01,HEX,,'01-52,1,45
E02,HEX,,'01-52,2,45
E03,HEX,,'01-60,1,45
E04,HEX,,'01-60,2,45
E05,HEX,,'01-68,1,45
E06,HEX,,'01-68,2,45
E07,HEX,,'01-76,1,45
E08,HEX,,'01-76,2,45
E09,HEX,,'02-03,1,45
E10,HEX,,'02-03,2,45
E11,HEX,,'02-11,1,45
E12,HEX,,'02-11,2,45
F01,HEX,,'01-51,1,45
F02,HEX,,'01-51,2,45
F03,HEX,,'01-59,1,45
F04,HEX,,'01-59,2,45
F05,HEX,,'01-67,1,45
F06,HEX,,'01-67,2,45
F07,HEX,,'01-75,1,45
F08,HEX,,'01-75,2,45
F09,HEX,,'02-02,1,45
F10,HEX,,'02-02,2,45
F11,HEX,,'02-10,1,45
F12,HEX,,'02-10,2,45
G01,HEX,,"Bd+FV3 10_9,9",1,8.835809919
G02,HEX,,"Bd+FV3 10_8,8",1,13.76828314
G03,HEX,,"Bd+FV3 10_7,7",1,18.14819543
G04,HEX,,"Bd+FV3 10_6,6",1,21.50284038
G05,HEX,,"Bd+FV3 10_5,5",1,29.40388011
G06,HEX,,"Bd+FV3 10_4,4",1,28.64749148
G07,HEX,,"Bd+FV3 10_3,3",1,31.80086724
G08,HEX,,"Bd+FV3 10_2,2",1,39.06463881
G09,HEX,,"Bd+FV3 10_1,1",1,38.68671003
G10,HEX,,"Bd+FV3 10_0,0",1,45
G11,HEX,,NTC,1,45
G12,HEX,,Blank,1,45
H01,HEX,,"Bd+FV3 10_9,9",2,45
H02,HEX,,"Bd+FV3 10_8,8",2,19.16553619
H03,HEX,,"Bd+FV3 10_7,7",2,24.73211513
H04,HEX,,"Bd+FV3 10_6,6",2,21.70816919
H05,HEX,,"Bd+FV3 10_5,5",2,24.65898118
H06,HEX,,"Bd+FV3 10_4,4",2,28.65554306
H07,HEX,,"Bd+FV3 10_3,3",2,35.5211224
H08,HEX,,"Bd+FV3 10_2,2",2,37.39205657
H09,HEX,,"Bd+FV3 10_1,1",2,32.52539862
H10,HEX,,"Bd+FV3 10_0,0",2,45
H11,HEX,,NTC,2,45
H12,HEX,,Blank,2,45
A01,FAM,,'01-02,1,45
A02,FAM,,'01-02,2,45
A03,FAM,,'01-10,1,45
A04,FAM,,'01-10,2,45
A05,FAM,,'01-18,1,45
A06,FAM,,'01-18,2,45
A07,FAM,,'01-26,1,45
A08,FAM,,'01-26,2,45
A09,FAM,,'01-34,1,45
A10,FAM,,'01-34,2,45
A11,FAM,,'01-42,1,39.16943244
A12,FAM,,'01-42,2,39.0460183
B01,FAM,,'01-01,1,45
B02,FAM,,'01-01,2,45
B03,FAM,,'01-09,1,45
B04,FAM,,'01-09,2,45
B05,FAM,,'01-17,1,39.35400933
B06,FAM,,'01-17,2,45
B07,FAM,,'01-25,1,37.0628092
B08,FAM,,'01-25,2,37.13738142
B09,FAM,,'01-33,1,36.62755463
B10,FAM,,'01-33,2,35.57625521
B11,FAM,,'01-41,1,38.41594722
B12,FAM,,'01-41,2,38.63760682
C01,FAM,,'01-50,1,45
C02,FAM,,'01-50,2,45
C03,FAM,,'01-58,1,45
C04,FAM,,'01-58,2,45
C05,FAM,,'01-66,1,45
C06,FAM,,'01-66,2,45
C07,FAM,,'01-74,1,45
C08,FAM,,'01-74,2,45
C09,FAM,,'02-01,1,45
C10,FAM,,'02-01,2,45
C11,FAM,,'02-09,1,45
C12,FAM,,'02-09,2,45
D01,FAM,,'01-49,1,45
D02,FAM,,'01-49,2,45
D03,FAM,,'01-57,1,45
D04,FAM,,'01-57,2,45
D05,FAM,,'01-65,1,45
D06,FAM,,'01-65,2,45
D07,FAM,,'01-73,1,45
D08,FAM,,'01-73,2,45
D09,FAM,,'01-81,1,45
D10,FAM,,'01-81,2,45
D11,FAM,,'02-08,1,45
D12,FAM,,'02-08,2,45
E01,FAM,,'02-17,1,37.22956627
E02,FAM,,'02-17,2,37.13986368
E03,FAM,,'02-25,1,45
E04,FAM,,'02-25,2,45
E05,FAM,,'02-33,1,45
E06,FAM,,'02-33,2,45
E07,FAM,,'02-41,1,45
