LabID,SampleID,BD_Rep1,BD_Rep2,RV_Rep1,RV_Rep2
'08-12,24-03-01-03-07
'08-13,24-03-01-03-08
'08-14,24-03-01-03-C
'08-15,NEG
'08-16,24-04-01-03-01
'08-17,24-04-01-03-02
'08-18,24-04-01-03-03
'08-19,24-04-01-03-08
'08-20,24-04-01-03-10
'08-21,24-04-01-03-C
'08-22,NEG
'08-23,24-05-02-03-02
'08-24,24-05-02-03-03
'08-25,24-05-02-03-04
'08-26,24-05-02-03-07
'08-27,24-05-02-03-08
'08-28,24-05-02-03-C
'08-29,NEG
'08-30,24-06-01-03-01
'08-31,24-06-01-03-02
'08-32,24-06-01-03-03
'08-33,24-06-01-03-04
'08-34,24-06-01-03-05
'08-35,24-06-01-03-06
'08-36,24-06-01-03-07
'08-37,24-06-01-03-08
'08-38,24-06-01-03-09
'08-39,24-06-01-03-10
'08-40,24-06-01-03-11
'08-41,24-06-01-03-12
'08-42,24-06-01-03-C
'08-43,NEG
'08-44,24-06-02-03-01
'08-45,24-06-02-03-02
'08-46,24-06-02-03-03
'08-47,24-06-02-03-04
'08-48,24-06-02-03-05
'08-49,24-06-02-03-06
'08-50,24-06-02-03-07
'08-51,24-06-02-03-08
'08-52,24-06-02-03-09
'08-53,24-06-02-03-10
'08-54,24-06-02-03-11
'08-55,24-06-02-03-12
'08-56,24-06-02-03-C
'08-57,NEG
'08-58,24-07-01-03-01
'08-59,24-07-01-03-02
'08-60,24-07-01-03-C
'08-61,NEG
'08-62,24-07-02-03-01
'08-63,24-07-02-03-02
'08-64,24-07-02-03-03
'08-65,24-07-02-03-04
'08-66,24-07-02-03-06
'08-67,24-07-02-03-07
'08-68,24-07-02-03-09
'08-69,24-07-02-03-10
'08-70,24-07-02-03-11
'08-71,24-07-02-03-12
'08-72,24-07-02-03-C
'08-73,NEG
'08-74,24-08-02-03-01
'08-75,24-08-02-03-02
'08-76,24-08-02-03-03
'08-77,24-08-02-03-04
'08-78,24-08-02-03-10
'08-79,24-08-02-03-12
'08-80,24-08-02-03-C
'08-81,NEG
'09-01,24-09-01-03-01
'09-02,24-09-01-03-03
'09-03,24-09-01-03-04
'09-04,24-09-01-03-05
'09-05,24-09-01-03-C
'09-06,NEG
'09-07,24-09-02-03-03
'09-08,24-09-02-03-C
'09-09,NEG
'09-10,24-09-03-03-01
'09-11,24-09-03-03-02
'09-12,24-09-03-03-03
'09-13,24-09-03-03-04
'09-14,24-09-03-03-05
'09-15,24-09-03-03-06
'09-16,24-09-03-03-07
'09-17,24-09-03-03-08
'09-18,24-09-03-03-09
'09-19,24-09-03-03-10
'09-20,24-09-03-03-11
'09-21,24-09-03-03-12
'09-22,24-09-03-03-C
'09-23,NEG
'09-24,24-10-01-03-01
'09-25,24-10-01-03-02
'09-26,24-10-01-03-03
'09-27,24-10-01-03-04
'09-28,24-10-01-03-05
'09-29,24-10-01-03-06
'09-30,24-10-01-03-07
'09-31,24-10-01-03-08
